Make,Model,Year,Type,Range,MSRP,VIN (1-10),Country,City, State, Postal Code,Eligibility,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
CHEVROLET,BOLT EV,2019,Battery Electric Vehicle (BEV),238,0,1G1FY6S07K,Yakima,Yakima,WA,98902,Clean Alternative Fuel Vehicle Eligible,14,239555753,POINT (-120.524012 46.5973939),PACIFICORP,53077000800
CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,0,1G1RB6E44F,Kitsap,Port Orchard,WA,98367,Clean Alternative Fuel Vehicle Eligible,26,146940545,POINT (-122.6851642 47.506453),PUGET SOUND ENERGY INC,53035092701
TOYOTA,PRIUS PRIME,2020,Plug-in Hybrid Electric Vehicle (PHEV),25,0,JTDKARFP7L,Thurston,Lacey,WA,98516,Not eligible due to low battery range,22,251797913,POINT (-122.7510253 47.08149),PUGET SOUND ENERGY INC,53067012225
CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,0,1G1RB6E49D,Kitsap,Bremerton,WA,98312,Clean Alternative Fuel Vehicle Eligible,35,197502679,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035091400
CHEVROLET,BOLT EV,2018,Battery Electric Vehicle (BEV),238,0,1G1FW6S02J,King,Bothell,WA,98011,Clean Alternative Fuel Vehicle Eligible,1,211228314,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021802
TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,0,5YJXCBE26G,Yakima,Selah,WA,98942,Clean Alternative Fuel Vehicle Eligible,15,122670621,POINT (-120.54188 46.654175),PACIFICORP,53077003100
BMW,X5,2022,Plug-in Hybrid Electric Vehicle (PHEV),30,0,5UXTA6C05N,Thurston,Olympia,WA,98502,Clean Alternative Fuel Vehicle Eligible,22,179760409,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002
AUDI,Q5,2022,Plug-in Hybrid Electric Vehicle (PHEV),22,0,WA1E2AFY9N,Snohomish,Bothell,WA,98012,Not eligible due to low battery range,1,205567183,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052009
TOYOTA,PRIUS PLUG-IN,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,0,JTDKN3DP0D,Thurston,Olympia,WA,98502,Not eligible due to low battery range,22,150750330,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067010600
KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,31950,KNDJX3AE6G,King,Bellevue,WA,98007,Clean Alternative Fuel Vehicle Eligible,48,349107580,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023201
CHEVROLET,BOLT EV,2019,Battery Electric Vehicle (BEV),238,0,1G1FZ6S0XK,Thurston,Olympia,WA,98513,Clean Alternative Fuel Vehicle Eligible,22,8788384,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC,53067011623
TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),308,0,5YJ3E1EC2L,Thurston,Olympia,WA,98512,Clean Alternative Fuel Vehicle Eligible,35,106395145,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000
BMW,X5,2016,Plug-in Hybrid Electric Vehicle (PHEV),14,0,5UXKT0C53G,Thurston,Lacey,WA,98513,Not eligible due to low battery range,22,107864305,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC,53067011622
JEEP,WRANGLER,2021,Plug-in Hybrid Electric Vehicle (PHEV),21,0,1C4JJXR68M,Thurston,Olympia,WA,98501,Not eligible due to low battery range,35,170312173,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011722
FIAT,500,2017,Battery Electric Vehicle (BEV),84,0,3C3CFFGE9H,Thurston,Tumwater,WA,98512,Clean Alternative Fuel Vehicle Eligible,22,204818785,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067010910
KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,31950,KNDJX3AE5G,King,Seattle,,,,,,,,
